SAMPLE,IMAGES,SAMPLING_TIME,SAMPLING_DAY_REFERENCE,MOUSE,TREATMENT,CALIBRATION,REFERENCE,CALIBRATION_FILENAME,REFERENCE_FOLDER,SPC,DIMENSION,ZSLICE,PROBEDESIGN,DESIGN_ID,SIZELIMIT,MARKER_X,MARKER_Y
.,2022_12_06_restain_slide_gyrB_fov_01,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_gyrB_fov_02,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_gyrB_fov_03,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_mefE_fov_02,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_mefE_fov_03,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_mefE_fov_04,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_non_fov_01,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_non_fov_02,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_non_fov_03,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_orth_fov_01,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_orth_fov_01_1,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_orth_fov_02,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_orth_fov_03,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_restain_fov_01,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_restain_fov_02,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_restain_fov_03,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_termL_fov_01,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_termL_fov_02,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2022_12_06_restain_slide_termL_fov_03,0,0,0,0,F,T,0,reference_training,2000,2,-1,../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
