SAMPLE,IMAGES,SAMPLING_TIME,SAMPLING_DAY_REFERENCE,MOUSE,TREATMENT,CALIBRATION,REFERENCE,CALIBRATION_FILENAME,REFERENCE_FOLDER,SPC,DIMENSION,ZSLICE,PROBEDESIGN,DESIGN_ID,SIZELIMIT,MARKER_X,MARKER_Y
.,2023_02_16_ecreference_code_00001_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_00001_fov_02,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_00010_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_00010_fov_02,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_00100_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_00100_fov_02,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_01000_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_01000_fov_02,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_10000_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_10000_fov_02,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_10011_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_1001_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_10101_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_10110_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_1011_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_11001_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_11010_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_1101_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
.,2023_02_16_ecreference_code_11100_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2023_02_09_hiprmega/HiPRFISH/reference_training_5_targets_only,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel_5_targets_only.csv,welch2016,200,0,0
